Routing Number,Name,City,State
011000015,FEDERAL RESERVE BANK,ATLANTA,GA
011000028,STATE STREET BANK AND TRUST COMPANY,N. QUINCY,MA
011000138,BANK OF AMERICA  N.A.,HENRICO,VA
011000206,BANK OF AMERICA N.A,RICHMOND,VA
011000390,BANK OF AMERICA N.A,RICHMOND,VA
011001234,BANK OF NEW YORK MELLON,PITTSBURGH,PA
011001276,ONEUNITED BANK,BOSTON,MA
011001331,CITIZENS BANK NA,RIVERSIDE,RI
011001726,BROOKLINE BANK,LINCOLN,RI
011001742,BANK OF AMERICA  N.A.,RICHMOND,VA
011001881,FIDUCIARY TRUST CO,BOSTON,MA
011001962,CATHAY BANK,ROSEMEAD,CA
011002343,SILICON VALLEY BANK,SANTA CLARA,CA
011002550,EASTERN BANK,LYNN,MA
011002725,BERKSHIRE BANK,PITTSFIELD,MA
011002877,EAST WEST BANK,EL MONTE,CA
011075150,SANTANDER,READING,PA
011075202,SANTANDER BANK  N.A.,READING,PA
011099660,FRB BOSTON ACCOUNTING DEPT.,ATLANTA,GA
011100012,BANK OF AMERICA N.A.,RICHMOND,VA
011100106,WELLS FARGO BANK,MINNEAPOLIS,MN
011100805,BANK OF AMERICA N.A,RICHMOND,VA
011101613,WEBSTER BANK  N.A.,NEW BRITAIN,CT
011102133,HOMETOWN BANK,OXFORD,MA
011102353,PEOPLESBANK,HOLYOKE,MA
011102502,UNION SAVINGS BANK,DANBURY,CT
011102612,SALISBURY BANK & TRUST CO,LAKEVILLE,CT
011102638,NATIONAL IRON BANK,SALISBURY,CT
011102667,SALISBURY BANK & TRUST CO.,LAKEVILLE,CT
011103093,TD BANK NA,LEWISTON,ME
011103129,JEWETT CITY SAVINGS BANK,AVON,CT
011104047,BANK OF AMERICA N.A.,RICHMOND,VA
011104050,WEBSTER BANK  N.A.,NEW BRITAIN,CT
011104131,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011104199,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011104209,WEBSTER BANK  N.A.,NEW BRITAIN,CT
011104283,SAVINGS INSTITUTE,PITTSFIELD,MA
011104322,WEBSTER BANK  N.A.,NEW BRITAIN,CT
011104335,PATRIOT BANK  NATIONAL ASSOCIATION,STAMFORD,CT
011104351,LIBERTY BANK,MIDDLETOWN,CT
011110617,BANKERS' BANK NORTHEAST,GLASTONBURY,CT
011110620,NAUGATUCK SAVINGS BANK,NAUGATUCK,CT
011110633,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011110646,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011110659,LIBERTY BANK,MIDDLETOWN,CT
011110675,WEBSTER BANK  N.A.,NEW BRITIAN,CT
011110688,LIBERTY BANK,MIDDLETOWN,CT
011110701,WEBSTER BANK  N.A.,NEW BRITAIN,CT
011110730,BANKWELL BANK,NEW CANAAN,CT
011110743,EASTHAMPTON SAVINGS BANK,EASTHAMPTON,MA
011110756,NEW HAVEN BANK,NEW HAVEN,CT
011175212,INSURBANC,FARMINGTON,CT
011175319,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011175351,DIME BANK,NORWICH,CT
011200022,KEY BANK,ALBANY,NY
011200365,BANK OF AMERICA  N.A.,HENRICO,VA
011200585,BANGOR SAVINGS BANK,BANGOR,ME
011200608,KEY BANK,ALBANY,NY
011201115,BAR HARBOR BANK & TRUST,ELLSWORTH,ME
011201306,CAMDEN NATIONAL BANK,ROCKPORT,ME
011201380,CAMDEN NATIONAL BANK,ROCKPORT,ME
011201403,NORTHEAST BANK,LEWISTON,ME
011201432,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011201458,CAMDEN NATIONAL BANK,ROCKPORT,ME
011201490,CAMDEN NATIONAL BANK,ROCKPORT,ME
011201500,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011201526,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011201539,BANK OF AMERICA N.A.,RICHMOND,VA
011201759,BAR HARBOR BANK & TRUST,ELLSWORTH,ME
011201762,THE FIRST  N.A.,DAMARISCOTTA,ME
011201830,FIRST NATIONAL BANK,DAMARISCOTTA,ME
011201995,ANDROSCOGGIN SAVINGS BANK,LEWISTON,ME
011202392,KATAHDIN TRUST COMPANY,HOULTON,ME
011202907,CAMDEN NATIONAL BANK,ROCKPORT,ME
011202910,TD BANK USA  NA,LEWISTON,ME
011202936,THE FIRST  NATIONAL ASSOCIATION,DAMARISCOTTA,ME
011275303,GORHAM SAVINGS BANK,GORHAM,ME
011275484,BANGOR SAVINGS BANK,BANGOR,ME
011292690,FIVE COUNTY CREDIT UNION,BATH,ME
011300142,BERKSHIRE BANK,PITTSFIELD,MA
011300595,CAMBRIDGE TRUST COMPANY,CAMBRIDGE,MA
011300605,BANK OF AMERICA N.A.,RICHMOND,VA
011301390,EASTERN BANK,LYNN,MA
011301536,EASTERN BANK,LYNN,MA
011301604,EASTERN BANK,LYNN,MA
011301798,EASTERN BANK,LYNN,MA
011301992,BANKFIVE,FALL RIVER,MA
011302357,BANK OF AMERICA N.A.,RICHMOND,VA
011302438,BANK OF AMERICA N.A.,RICHMOND,VA
011302519,EASTERN BANK,LYNN,MA
011302603,NORTHMARK BANK,NORTH ANDOVER,MA
011302616,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011302742,ENTERPRISE BANK & TRUST CO.,LOWELL,MA
011302768,MANUFACTURERS & TRADERS TRUST CO,AMHERST,NY
011302920,BANK OF NEW YORK MELLON,PITTSBURGH,PA
011303084,IVY BK A DIV. OF CAMBRIDGE SAV BK,WALTHAM,MA
011303097,NORTHERN BANK & TRUST CO,WOBURN,MA
011303110,EASTERN BANK,LYNN,MA
011303327,ROCKLAND TRUST COMPANY,PLYMOUTH,MA
011304300,NATL GRAND BK MARBLEHEAD,MARBLEHEAD,MA
011304478,ROCKLAND TRUST COMPANY,PLYMOUTH,MA
011304517,CITIZENS BANK NA,RIVERSIDE,RI
011304711,BROOKLINE BANK,LINCOLN,RI
